date,action,direction,price,balance,signal,pnl
2024-04-04,OPEN,LONG,1.0838346481323242,97133.79144668582,"{'direction': 1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=0.00331, BulkPressure=0.00187, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(0.0033123706607028126), 'bulk_pressure': np.float64(0.00186620362793452), 'entropy_regime': np.float64(1.0073900324831448)}",
2024-04-09,CLOSE,,1.0863661766052246,97386.94429397586,"{'direction': 1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=-0.00006, BulkPressure=0.01354, EntropyRegime=1.02, Neighbors=10', 'momentum': np.float64(-6.3736092448613e-05), 'bulk_pressure': np.float64(0.013537115420329216), 'entropy_regime': np.float64(1.0177237867476363)}",253.15284729003906
2024-04-12,OPEN,SHORT,1.0726851224899292,97386.94429397586,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00998, BulkPressure=-0.00637, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.00997880395550107), 'bulk_pressure': np.float64(-0.006371353725103942), 'entropy_regime': np.float64(1.0147075244404393)}",
2024-04-15,CLOSE,,1.0649627447128296,98159.18207168582,"{'direction': 1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=-0.00034, BulkPressure=0.00113, EntropyRegime=1.02, Neighbors=10', 'momentum': np.float64(-0.00033974060966969195), 'bulk_pressure': np.float64(0.0011287839105632153), 'entropy_regime': np.float64(1.0196168532161285)}",772.2377777099609
2024-04-17,OPEN,SHORT,1.0621461868286133,98159.18207168582,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00106, BulkPressure=-0.00248, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.0010579514772458998), 'bulk_pressure': np.float64(-0.0024833901859821644), 'entropy_regime': np.float64(1.0129259177492707)}",
2024-04-18,CLOSE,,1.0669398307800293,97679.81767654422,"{'direction': -1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=0.00076, BulkPressure=-0.01137, EntropyRegime=1.02, Neighbors=10', 'momentum': np.float64(0.0007611033614973784), 'bulk_pressure': np.float64(-0.011365953678629038), 'entropy_regime': np.float64(1.0196338244233443)}",-479.36439514160156
2024-04-19,OPEN,LONG,1.0644185543060305,97679.81767654422,"{'direction': 1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=0.00540, BulkPressure=0.00710, EntropyRegime=1.02, Neighbors=10', 'momentum': np.float64(0.005403268007250927), 'bulk_pressure': np.float64(0.007102663191159282), 'entropy_regime': np.float64(1.0213034347123329)}",
2024-04-22,CLOSE,,1.065825343132019,97820.49655914307,"{'direction': 1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=-0.00101, BulkPressure=0.00283, EntropyRegime=1.02, Neighbors=10', 'momentum': np.float64(-0.0010146833906964747), 'bulk_pressure': np.float64(0.002834881108689377), 'entropy_regime': np.float64(1.0245981679405787)}",140.67888259885476
2024-05-02,OPEN,SHORT,1.0721560716629028,97820.49655914307,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00412, BulkPressure=-0.00926, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.004118591033053093), 'bulk_pressure': np.float64(-0.009260130385534658), 'entropy_regime': np.float64(1.0058934177993704)}",
2024-05-03,CLOSE,,1.073306918144226,97705.41191101074,"{'direction': -1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=0.00569, BulkPressure=-0.00235, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(0.005691287525320327), 'bulk_pressure': np.float64(-0.00234830659718933), 'entropy_regime': np.float64(1.007302284221916)}",-115.08464813232422
2024-05-06,OPEN,LONG,1.0758124589920044,97705.41191101074,"{'direction': 1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=0.00155, BulkPressure=0.00125, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(0.0015480020454290643), 'bulk_pressure': np.float64(0.001252318656233583), 'entropy_regime': np.float64(1.0077429744365076)}",
2024-05-08,CLOSE,,1.0750491619110107,97629.08220291138,"{'direction': -1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=0.00131, BulkPressure=-0.00529, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(0.001309307424666417), 'bulk_pressure': np.float64(-0.005286250448038963), 'entropy_regime': np.float64(1.00739580701192)}",-76.32970809936523
2024-05-09,OPEN,SHORT,1.0746910572052002,97629.08220291138,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00108, BulkPressure=-0.00444, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.001084247834960661), 'bulk_pressure': np.float64(-0.004437395817741821), 'entropy_regime': np.float64(1.007159664651275)}",
2024-05-10,CLOSE,,1.078515887260437,97246.5991973877,"{'direction': 1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=-0.00036, BulkPressure=0.00368, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.00036177766719819315), 'bulk_pressure': np.float64(0.003679506830719104), 'entropy_regime': np.float64(1.0077215427334583)}",-382.48300552368164
2024-05-16,OPEN,LONG,1.0889805555343628,97246.5991973877,"{'direction': 1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=0.00104, BulkPressure=0.00802, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(0.0010422044693193578), 'bulk_pressure': np.float64(0.008018553462373778), 'entropy_regime': np.float64(1.0118362493170605)}",
2024-05-17,CLOSE,,1.0867793560028076,97026.47924423218,"{'direction': -1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=0.00593, BulkPressure=-0.00455, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(0.005931860767938418), 'bulk_pressure': np.float64(-0.004546576612807246), 'entropy_regime': np.float64(1.0109771892194739)}",-220.11995315551758
2024-05-22,OPEN,SHORT,1.0855170488357544,97026.47924423218,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00231, BulkPressure=-0.00214, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.0023120806257532654), 'bulk_pressure': np.float64(-0.002144660179382807), 'entropy_regime': np.float64(1.0111553801827005)}",
2024-05-24,CLOSE,,1.0812681913375854,97451.36499404907,"{'direction': 1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=-0.00335, BulkPressure=0.00069, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.003346629854856459), 'bulk_pressure': np.float64(0.0006937848801224846), 'entropy_regime': np.float64(1.0132341507058593)}",424.88574981689453
2024-05-28,OPEN,SHORT,1.0861891508102417,97451.36499404907,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00155, BulkPressure=-0.00625, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.001546172221401243), 'bulk_pressure': np.float64(-0.006251953606515739), 'entropy_regime': np.float64(1.0139305282676627)}",
2024-05-29,CLOSE,,1.0851871967315674,97551.5604019165,"{'direction': 1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=0.00383, BulkPressure=0.01388, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(0.003828200495462736), 'bulk_pressure': np.float64(0.013884700160405541), 'entropy_regime': np.float64(1.0100555364165305)}",100.19540786743164
2024-05-29,OPEN,LONG,1.0851871967315674,97551.5604019165,"{'direction': 1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=0.00383, BulkPressure=0.01388, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(0.003828200495462736), 'bulk_pressure': np.float64(0.013884700160405541), 'entropy_regime': np.float64(1.0100555364165305)}",
2024-05-30,CLOSE,,1.0801819562911987,97051.03635787964,"{'direction': 1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=-0.00156, BulkPressure=0.00824, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.001557969158770267), 'bulk_pressure': np.float64(0.008244823684645552), 'entropy_regime': np.float64(1.013595182668373)}",-500.52404403686523
2024-05-31,OPEN,SHORT,1.0835410356521606,97051.03635787964,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00525, BulkPressure=-0.00004, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.005246563531176062), 'bulk_pressure': np.float64(-4.2480188551528476e-05), 'entropy_regime': np.float64(1.0137711884562257)}",
2024-06-03,CLOSE,,1.0853049755096436,96874.64237213135,"{'direction': -1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=0.00258, BulkPressure=-0.01266, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(0.002577865980926486), 'bulk_pressure': np.float64(-0.012657077627624653), 'entropy_regime': np.float64(1.0067140134975816)}",-176.39398574829102
2024-06-04,OPEN,LONG,1.0907385349273682,96874.64237213135,"{'direction': 1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=0.00107, BulkPressure=0.00250, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(0.0010683440188065997), 'bulk_pressure': np.float64(0.002503872192202943), 'entropy_regime': np.float64(1.0068722881496568)}",
2024-06-06,CLOSE,,1.087453007698059,96546.08964920044,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00287, BulkPressure=-0.00206, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.002872229402513987), 'bulk_pressure': np.float64(-0.002057792702551956), 'entropy_regime': np.float64(1.0072796751994795)}",-328.5527229309082
2024-06-06,OPEN,SHORT,1.087453007698059,96546.08964920044,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00287, BulkPressure=-0.00206, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.002872229402513987), 'bulk_pressure': np.float64(-0.002057792702551956), 'entropy_regime': np.float64(1.0072796751994795)}",
2024-06-10,CLOSE,,1.077888250350952,97502.56538391116,"{'direction': -1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=0.00114, BulkPressure=-0.00678, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(0.0011440676840076159), 'bulk_pressure': np.float64(-0.006783624428246078), 'entropy_regime': np.float64(1.0095677340325764)}",956.4757347107155
2024-06-12,OPEN,SHORT,1.07403302192688,97502.56538391116,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00133, BulkPressure=-0.00676, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.0013347283195508097), 'bulk_pressure': np.float64(-0.006755461439759095), 'entropy_regime': np.float64(1.0081352447084158)}",
2024-06-14,CLOSE,,1.0738831758499146,97517.54999160772,"{'direction': -1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=0.00678, BulkPressure=-0.00693, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(0.006778468628495132), 'bulk_pressure': np.float64(-0.006930506241684784), 'entropy_regime': np.float64(1.0083872693273648)}",14.984607696555408
2024-06-21,OPEN,LONG,1.0706409215927124,97517.54999160772,"{'direction': 1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=0.00151, BulkPressure=0.01118, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(0.0015079428203034595), 'bulk_pressure': np.float64(0.011181742028225325), 'entropy_regime': np.float64(1.006370927643964)}",
2024-06-24,CLOSE,,1.0687757730484009,97331.03513717657,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00352, BulkPressure=-0.00388, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.0035158257363752665), 'bulk_pressure': np.float64(-0.0038848242951766655), 'entropy_regime': np.float64(1.0061812753549304)}",-186.51485443115234
2024-06-24,OPEN,SHORT,1.0687757730484009,97331.03513717657,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00352, BulkPressure=-0.00388, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.0035158257363752665), 'bulk_pressure': np.float64(-0.0038848242951766655), 'entropy_regime': np.float64(1.0061812753549304)}",
2024-06-26,CLOSE,,1.0709619522094729,97112.41722106937,"{'direction': -1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=0.00457, BulkPressure=-0.00059, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(0.004569170378599286), 'bulk_pressure': np.float64(-0.0005880200328230201), 'entropy_regime': np.float64(1.0124501180026437)}",-218.61791610719993
2024-06-27,OPEN,SHORT,1.068010926246643,97112.41722106937,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00146, BulkPressure=-0.00359, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.0014555254896578662), 'bulk_pressure': np.float64(-0.0035860939018159104), 'entropy_regime': np.float64(1.0121581698756679)}",
2024-06-28,CLOSE,,1.0708472728729248,96828.78255844119,"{'direction': 1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=-0.00197, BulkPressure=0.00151, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.001966699875212774), 'bulk_pressure': np.float64(0.0015085670323628623), 'entropy_regime': np.float64(1.0119002743749554)}",-283.6346626281738
2024-07-02,OPEN,LONG,1.0737102031707764,96828.78255844119,"{'direction': 1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=0.00296, BulkPressure=0.00762, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(0.0029571128275377055), 'bulk_pressure': np.float64(0.0076164728197750135), 'entropy_regime': np.float64(1.0072890567666046)}",
2024-07-03,CLOSE,,1.0748412609100342,96941.88833236697,"{'direction': -1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=0.00070, BulkPressure=-0.00340, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(0.0007004035638984274), 'bulk_pressure': np.float64(-0.003401441689357135), 'entropy_regime': np.float64(1.0066116464136596)}",113.10577392578125
2024-07-10,OPEN,LONG,1.0814785957336426,96941.88833236697,"{'direction': 1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=0.00074, BulkPressure=0.00565, EntropyRegime=1.00, Neighbors=10', 'momentum': np.float64(0.0007385888582443767), 'bulk_pressure': np.float64(0.0056522372898107015), 'entropy_regime': np.float64(1.0038662038727062)}",
2024-07-11,CLOSE,,1.083329677581787,97126.99651718143,"{'direction': 1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=-0.00166, BulkPressure=0.00462, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.0016644439191815074), 'bulk_pressure': np.float64(0.004617568352520532), 'entropy_regime': np.float64(1.0071231407321233)}",185.10818481445312
2024-07-16,OPEN,LONG,1.0901559591293335,97126.99651718143,"{'direction': 1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=0.00084, BulkPressure=0.02714, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(0.0008372200980735767), 'bulk_pressure': np.float64(0.027137752887374862), 'entropy_regime': np.float64(1.005277170727947)}",
